Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Monroe, TN",47123,0,6128,0,0,0,5893,0,0,0,5797,0,0,0,5727,0,0,0,5687,0,0,0,5640,0,0,0,5725,0,0,0,5791,0,0,0,5910,0,0,0,6063,0,0
"Montgomery, TN",47125,0,16295,0,0,0,15247,0,0,0,15766,0,0,0,16126,0,0,0,16591,0,0,0,17459,0,0,0,18410,0,0,0,19449,0,0,0,20560,0,0,0,21492,0,0
"Moore, TN",47127,0,1028,0,0,0,946,0,0,0,947,0,0,0,938,0,0,0,931,0,0,0,919,0,0,0,950,0,0,0,960,0,0,0,1003,0,0,0,1012,0,0
"Morgan, TN",47129,0,3455,0,0,0,3379,0,0,0,3387,0,0,0,3377,0,0,0,3345,0,0,0,3280,0,0,0,3260,0,0,0,3280,0,0,0,3284,0,0,0,3325,0,0
"Obion, TN",47131,0,6800,0,0,0,6322,0,0,0,6187,0,0,0,6096,0,0,0,5957,0,0,0,5738,0,0,0,5637,0,0,0,5576,0,0,0,5536,0,0,0,5531,0,0
"Overton, TN",47133,0,3197,0,0,0,3065,0,0,0,3056,0,0,0,3013,0,0,0,2957,0,0,0,2906,0,0,0,3041,0,0,0,2991,0,0,0,3006,0,0,0,2994,0,0
"Perry, TN",47135,0,1116,0,0,0,1057,0,0,0,1094,0,0,0,1075,0,0,0,1073,0,0,0,1134,0,0,0,1110,0,0,0,1116,0,0,0,1167,0,0,0,1171,0,0
"Pickett, TN",47137,0,788,0,0,0,779,0,0,0,782,0,0,0,781,0,0,0,765,0,0,0,800,0,0,0,816,0,0,0,828,0,0,0,837,0,0,0,822,0,0
"Polk, TN",47139,0,2927,0,0,0,2563,0,0,0,2437,0,0,0,2424,0,0,0,2335,0,0,0,2260,0,0,0,2228,0,0,0,2221,0,0,0,2236,0,0,0,2246,0,0
"Putnam, TN",47141,0,8605,0,0,0,8391,0,0,0,8434,0,0,0,8495,0,0,0,8597,0,0,0,8720,0,0,0,8141,0,0,0,8896,0,0,0,9030,0,0,0,9117,0,0
"Rhea, TN",47143,0,4993,0,0,0,4793,0,0,0,4677,0,0,0,4632,0,0,0,4472,0,0,0,4475,0,0,0,4551,0,0,0,4618,0,0,0,4643,0,0,0,4768,0,0
"Roane, TN",47145,0,8441,0,0,0,8072,0,0,0,7932,0,0,0,7777,0,0,0,7617,0,0,0,7536,0,0,0,7622,0,0,0,7749,0,0,0,7653,0,0,0,7590,0,0
"Robertson, TN",47147,0,7830,0,0,0,7719,0,0,0,7701,0,0,0,7805,0,0,0,8063,0,0,0,8299,0,0,0,8461,0,0,0,8811,0,0,0,9227,0,0,0,9481,0,0
"Rutherford, TN",47149,0,20285,0,0,0,20419,0,0,0,21082,0,0,0,21633,0,0,0,22389,0,0,0,23167,0,0,0,24026,0,0,0,24777,0,0,0,26017,0,0,0,27270,0,0
"Scott, TN",47151,0,4434,0,0,0,4176,0,0,0,4178,0,0,0,4110,0,0,0,4133,0,0,0,4166,0,0,0,4218,0,0,0,4154,0,0,0,4136,0,0,0,4120,0,0
"Sequatchie, TN",47153,0,1997,0,0,0,1816,0,0,0,1714,0,0,0,1636,0,0,0,1636,0,0,0,1555,0,0,0,1574,0,0,0,1569,0,0,0,1617,0,0,0,1658,0,0
"Sevier, TN",47155,0,9022,0,0,0,8637,0,0,0,8783,0,0,0,8988,0,0,0,9115,0,0,0,9345,0,0,0,9778,0,0,0,10068,0,0,0,10481,0,0,0,11032,0,0
"Shelby, TN",47157,0,146932,0,0,0,141103,0,0,0,140399,0,0,0,140664,0,0,0,144778,0,0,0,144638,0,0,0,147751,0,0,0,147972,0,0,0,152486,0,0,0,154972,0,0
"Smith, TN",47159,0,2648,0,0,0,2627,0,0,0,2648,0,0,0,2620,0,0,0,2659,0,0,0,2652,0,0,0,2792,0,0,0,2827,0,0,0,2912,0,0,0,3030,0,0
"Stewart, TN",47161,0,1656,0,0,0,1580,0,0,0,1599,0,0,0,1563,0,0,0,1579,0,0,0,1619,0,0,0,1635,0,0,0,1693,0,0,0,1715,0,0,0,1824,0,0
"Sullivan, TN",47163,0,25951,0,0,0,24516,0,0,0,24114,0,0,0,23690,0,0,0,23578,0,0,0,23601,0,0,0,23575,0,0,0,23306,0,0,0,23312,0,0,0,23235,0,0
